Author,Title,Quantity,,
Acker Kathy,Blood And Guts In High School,7,,
Acker Kathy,Poetry ,6,,
Acker Kathy,Empire Of The Senseless,2,,
Acker Kathy,Great Expectations,3,,
Acker Kathy,Tori ,5,,
Acker Kathy and McKenzie Wark,Im Very Intro You: Correspondence 1965-1996,3,,
Acker Kathy,In Memoriam To Identity,6,,
Acker Kathy,Literal Madness: Three Novels,5,,
Acker Kathy,My Mother: Demonology,6,,
Acker Kathy,Pussy King Of The Pirates,3,,
Acker Kathy,My Daisy,1
,
Acosta Oscar Zeta,Revolt Of The Cockroach People,6,,
Aes-Nihil Jon,William S. Burroughs In The Dreamachine,10,,
Allen Donald,Poetics of the New American Poetry,9,,
Allione Constanzo,Fried Shoes Cooked Diamond - Beats at Naropa,2,,
Allred Randy,Beat Angel: A Film About The Spirit Of Jack Kerouac,9,,
Almon Bert,The Imagination Of Gary Snyder,9,,
Amburn Ellis,Subterranean Kerouac: Hidden Life of Jack Kerouac,7,,
Amram David,Offbeat: Collaborating With Kerouac,4,,
Amram David (David Amram Quartet),Pull My Daisy and Other Jazz Classics,6,,
Amram David,Upbeat: Nine Lives Of A Musical Cat,7,,
Amram David,Vibrations: The Adventures and Musical Times of David Amram,5,,
Anderson Cliff,Free Beer: Kicks & Truth With Jack Kerouac & Other Strong Drinks,1,,
Anstee Rod comp,Jack Kerouac: The Bootleg Era: An Annotated List,3,,
Antonelli John,Jack Kerouac: King Of The Beats,7,,
Antonelli John,Kerouac,9,,
Arnold Delmar Wilson Jr.,All In The Family: Gary Snyders Poetics Of Reinhabitation,1,,
Aronson Jerry,Life and Times of Allen Ginsberg,8,,
Aronson Marc,Art Attack: A Short Cultural History of the Avant-Garde,3,,
Arrocha Victor M.,The Beat Generation And Its Influence In The United States,6,,
Ash Mel,Beat Spirit: The Way of the Beat Writers as a Living Experience,4,,
Atkinson Jay,Paradise Road: Jack Kerouacs Lost Highway And My Search For America,3,,
Audio Book & Music Company,Beat Poetry,1,,
Àvila Javier,Henry Chinaskis Futile Road From Self-Protection To Self-Destruction In The Works Of Charles Bukowski,3,,
Baca Elmo,Mabels Santa Fe and Taos: Bohemian Legends (1900-1950),7,,
Bair Deidre,Anaïs Nin: A Biography,5,,
Baker Deborah,Blue Hand : Beats in India,7,,
Baker Phil,William S. Burroughs,1,,
Bald Wambly,On The Left Bank: 1929-1933,5,,
Baldick Robert,First Bohemian: Life of Henry Murger,2,,
Ball Gordon,East Hill Farm: Seasons With Allen Ginsberg,2,,
Balzac Honore,A Prince Of Bohemia and Other Stories,6,,
Baraka Amiri,Autobiography of Leroi Jones,8,,
Baraka Amiri,Digging: The Afro-American Soul Of American Classical Music,5,,
Baraka Amiri,Eulogies,3,,
Baraka Amiriet al,Music: Reflections On Jazz And Blues,5,,
Baraka Amiri,SOS: Poems 1961-2013,1,,
Baraka Amiri,Transbluesency: Selected Poems of Amiri Baraka/LeRoi Jones (1961-1995),10,,
Barille Elisabeth,Anais Nin: Naked Under The Mask,6,,
Bartlett Karen Joy,Jewels In The Net: The American Buddhist Poetics Of Gary Snyder,4,,
Bartlett Lee,William Everson: The Life Of Brother Antoninus,1,,
Bartlett Lee editor,Beats: Essays In Criticism,8,,
Baskin Alex,John Reed: The Early Years in Greenwich Village,9,,
Baughan Michael Gray,Charles Bukowski,9,,
Beard Rick editors,Greenwich Village: Culture and Counterculture,7,,
Beatdom Books,Beatdom,4,,
Beatty Maria,Gang Of Souls: A Generation Of Beat Poets,10,,
Becker George J. ed & trans,Paris and the Arts 1851-1896: From the Goncourt Journal,10,,
Behnke Alison M.,Jack Kerouac,4,,
Bennett John editor,Ragged Lion: A Tribute To Jack Micheline,3,,
Benstock Shari,Women Of The Left Bank: Paris 1900-1940,5,,
Berrigan Ted,On the Level Everyday: Selected Talks on Poetry and the Art of Living,10,,
Beucler Andre,Last of the Bohemians: Twenty Years with Leon-Paul Fargue,2,,
Beveridge Thomas Gordon,Jack Kerouac And The Liberal Tradition,5,,
Bickford L.H.,Phyllis in Bohemia,10,,
Bierowski Thomas R.,Kerouac In Ecstacy: Shamanic Expression In The Writings,9,,
Billy Andre,The Goncourt Brothers,6,,
Bisbort Alan,Beatniks: A Guide To An American Subculture,8,,
Black Joel Elan,Arrested For Selling Poetry! Or You Wouldnt Want Your Children Reading This: The Historical Significance Of The Howl Obscenity Trial,5,,
Blank A.R.,My Darling Killer: How Lucien Car Introduced Jack Kerouac Allen Ginsberg & William Burroughs Killed David Kammerer & Shaped The Beat Generation,3,,
Bockris Victor,With William Burroughs: A Report from the Bunker,8,,
Bodenheim Maxwell,Georgie May,8,,
Bodenheim Maxwell,Introducing Irony,8,,
Bodenheim Maxwell,My Life and Loves in Greenwich Village,3,,
Bodenheim Maxwell,My Life and Loves in Greenwich Village,2,,
Bodenheim Maxwell,New York Madness,4,,
Bodenheim Maxwell,Naked on Roller Skates,7,,
Bodenheim Maxwell,Replenishing Jessica,3,,
Bodenheim Maxwell,Sardonic Arm,9,,
Bogosian Eric,Sex Drugs Rock & Roll,6,,
Bohemian Club,Certificate of Incorporation Constitution By-Laws and Rules Officers Committees and Members,4,,
Bohemian Club,Chronicle of Our Years: Commemorating the Seventy-fifth Anniversary of the found of the Bohemian Club of San Francisco,2,,
Bostick Daisy,Carmel Today And Yesterday,4,,
Bowles Jane,My Sisters Hand In Mine,10,,
Bowles Jane,Two Serious Ladies,3,,
Bowles Paul,Collected Stories & Later Writings,2,,
Bowles Paul,Days: Tangier Journal 1987-1989,4,,
Bowles Payl,Desultory Correspodence: An Interview With Paul Bowles On Gerturde Stein,3,,
Bowles Paul,A Hundred Camels in the Courtyard,6,,
Bowles Paul,In Touch: The Letters Of Paul Bowles,2,,
Bowles Paul,Let It Come Down,8,,
Bowles Paul,Let It Come Down: The Life Of Paul Bowles,6,,
Bowles Paul,Midnight Mass and Other Stories,3,,
Bowles Paul,Paul Bowles: The Cage Door Is Always Open,1,,
Bowles Paul,Paul Bowles Music,5,,
Bowles Paul,Sheltering Sky,9,,
Bowles Paul,Stories Of Paul Bowles,10,,
Bowles Paul,Too Far From Home: Selected Writings Of Paul Bowles,2,,
Bowles Paul,Travels: Collected Writings 1950-1983,9,,
Bowles Paul,Without Stopping: An Autobiography,6,,
Bowles Paul,Yallah,1,,
Brassaï,Henry Miller Happy Rock,6,,
Brassaï,Henry Miller: The Paris Years,1,,
Brassaï,Paris By Night,5,,
Brautigan Richard,Abortion: An Historial Romance,2,,
Brautigan Richard,Confederate General From Big Sur Dreaming Of Babylon Hawkline Monster,9,,
Brautigan Richard,Edna Webster Collection of Undiscovered Writings,9,,
Brautigan Richard,Hawkline Monster: A Gothic Western,7,,
Brautigan Richard,June 30th June 30th,3,,
Brautigan Richard,Loading Mercury with a Pitchfork,5,,
Brautigan Richard,Rommel Drives On Deep Into Egypt,9,,
Brautigan Richard,Sombrero Fallout: A Japanese Novel,2,,
Brautigan Richard,Trout Fishing in America,9,,
Brautigan Richard,Unfortunate Woman,10,,
Brewer Gay,Charles Bukowski,9,,
Broderick Siobhan,Public Intellectual Work Of Allen Ginsberg,4,,
Brooks David,Bobos in Paradise: The New Upper Class and How They Got There,2,,
Brossard Chandler,As The Wolf Howls At My Door,3,,
Brossard Chandler,Did Christ Make Love?,10,,
Brossard Chandler,Double View,5,,
Brossard Chandler,Wake Up. Were Almost There,4,,
Brossard Chandler,Who Walk in Darkness,7,,
Brossard Chandler,Who Walk in Darkness,3,,
Brotchie Alastair,Alfred Jarry: A Pataphysical Life,2,,
Bruce Lenny,How to Talk Dirty and Influence People,8,,
Brundage Slim,From Bughouse Square To The Beat Generation,10,,
Bruno Guido,Brunos Weekly,7,,
Bruno Guido,Brunos Weekly Volume 1,7,,
Bruno Guido,Brunos Weekly Volume 2,8,,
Bruno Guido,Brunos Weekly Volume 3,5,,
